person_uri,name,gender,era,floruit_lower,floruit_upper,wikidata,dib,birth_places,death_places
https://kg.virtualtreasury.ie/person/Molloy_Charles_c17/v149jhn,Cormac Mulloy,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1646-01-01,1690-12-31,,https://www.dib.ie/biography/Molloy-Mulloy-Charles-a5863,Ireland,"England, London"
https://kg.virtualtreasury.ie/person/Costello_Dudley_c17/v125tnw,Dudley Blondini,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1600-01-01,1667-03-03,http://www.wikidata.org/entity/Q5310721,https://www.dib.ie/biography/Costello-Dudley-a2078,"Ireland, Mayo","Ireland, Mayo"
https://kg.virtualtreasury.ie/person/Ludlow_Edmund_c17/v12d6sy,Edmond Ludlow,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1616-01-01,1692-11-30,http://www.wikidata.org/entity/Q5339650,https://www.dib.ie/biography/Ludlow-Edmund-a4913,,"Switzerland, Vevey"
https://kg.virtualtreasury.ie/person/ONeill_Daniel_c17/v15f5pv,Domingos Wrixon-,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1612-01-01,1664-10-24,http://www.wikidata.org/entity/Q5218309,https://www.dib.ie/biography/ONeill-Daniel-a6919,,
https://kg.virtualtreasury.ie/person/OBrien_Daniel_c17/v189vfg,Domingos Arnold,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1577-01-01,1666-12-31,http://www.wikidata.org/entity/Q5218286,https://www.dib.ie/biography/OBrien-Sir-Daniel-a6457,,
https://kg.virtualtreasury.ie/person/ONeill_Daniel_c17/v15f5pv,Dominic Becher,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1612-01-01,1664-10-24,http://www.wikidata.org/entity/Q5218309,https://www.dib.ie/biography/ONeill-Daniel-a6919,,
https://kg.virtualtreasury.ie/person/Bellingham_Daniel_c17/v189jxs,Dominic Bellingham,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1620-01-01,1672-12-31,http://www.wikidata.org/entity/Q75433125,https://www.dib.ie/biography/Bellingham-Sir-Daniel-a0563,,
https://kg.virtualtreasury.ie/person/Muschamp_Denny_c17/v196fkk,Denny Muschamp,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1637-01-01,1699-12-20,http://www.wikidata.org/entity/Q75677686,https://www.dib.ie/biography/Muschamp-Denny-a6119,,
https://kg.virtualtreasury.ie/person/Conway_Edward_c17/v1cg59v,Eamonn Conway,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1623-01-01,1683-08-11,http://www.wikidata.org/entity/Q5342394,https://www.dib.ie/biography/Conway-Edward-a1981,,England
https://kg.virtualtreasury.ie/person/ONeill_Daniel_c17/v15f5pv,Domhnall Becher,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1612-01-01,1664-10-24,http://www.wikidata.org/entity/Q5218309,https://www.dib.ie/biography/ONeill-Daniel-a6919,,
